mpg,Length,Width,Number of Forward Gears,Year,Car Height,Horsepower,Torque,
18,143,202,6,2009,140,250,236,
22,143,202,6,2009,140,200,207,
21,143,202,6,2009,140,200,207,
21,143,202,6,2009,140,200,207,
21,143,202,6,2009,140,200,207,
16,17,62,6,2009,91,265,243,
17,17,62,6,2009,91,265,243,
13,221,191,6,2009,201,350,325,
14,221,191,6,2009,201,280,266,
22,96,34,6,2009,147,211,258,
21,96,34,6,2009,147,211,258,
17,96,34,6,2009,147,265,243,
20,63,87,6,2012,172,280,254,
18,63,87,6,2012,172,305,273,
12,243,201,6,2010,226,555,500,
12,243,201,6,2011,226,555,500,
12,12,191,6,2010,148,555,500,
12,12,191,6,2011,148,555,500,
18,22,181,5,2012,112,185,190,
18,140,181,5,2012,112,185,190,
18,140,181,4,2012,120,185,190,
18,22,181,5,2011,112,185,190,
18,140,181,5,2011,112,185,190,
18,140,181,4,2011,120,185,190,
18,22,181,5,2010,112,185,190,
20,140,181,5,2010,112,185,190,
18,140,181,4,2010,120,185,190,
13,60,219,4,2012,77,310,334,
9,60,219,4,2012,77,310,334,
13,60,219,4,2011,77,310,334,
13,60,219,4,2011,77,310,334,
8,60,219,6,2011,22,280,295,
8,60,219,6,2011,22,324,373,
10,60,224,4,2010,24,310,334,
13,60,224,4,2010,24,310,334,
15,102,237,4,2011,77,195,260,
14,215,240,4,2011,82,302,305,
15,215,237,4,2011,85,195,260,
15,215,237,4,2010,85,195,260,
15,102,237,4,2010,77,195,260,
14,215,240,4,2010,82,302,305,
18,52,52,6,2011,43,350,276,
18,75,52,6,2010,35,350,276,
18,75,52,6,2009,35,350,276,
21,168,247,6,2011,167,227,236,
21,168,247,5,2011,167,227,236,
21,155,247,5,2010,167,227,236,
21,155,247,6,2010,167,227,236,
9,34,107,6,2010,193,530,774,
8,195,153,6,2012,99,621,590,
8,199,153,6,2012,110,621,590,
8,195,153,6,2011,99,621,590,
12,195,153,6,2010,99,621,590,
8,170,184,6,2012,118,552,479,
11,170,184,6,2012,108,600,553,
10,170,184,6,2011,185,600,553,
10,170,184,6,2010,185,600,553,
10,170,184,6,2010,195,552,479,
19,7,44,5,2011,120,227,236,
20,230,44,6,2010,119,227,236,
19,230,44,5,2010,119,227,236,
21,123,234,5,2010,172,168,170,
21,123,234,5,2010,172,227,236,
21,123,234,5,2011,172,227,236,
20,123,234,6,2010,190,227,236,
20,19,72,6,2012,203,250,266,
18,19,72,6,2012,203,300,325,
18,19,72,6,2012,203,325,354,
18,14,72,6,2011,203,300,325,
19,243,69,6,2011,213,240,236,
15,243,69,6,2010,213,311,325,
16,243,69,6,2010,213,281,295,
18,243,69,6,2010,213,235,236,
21,169,234,5,2011,177,227,236,
20,169,234,6,2010,193,227,236,
20,169,234,5,2010,177,168,170,
17,19,97,6,2011,175,300,325,
18,19,97,6,2011,175,240,236,
16,19,97,6,2010,175,281,295,
18,19,97,6,2010,175,235,236,
18,230,69,6,2011,66,240,236,
17,230,69,6,2011,66,300,325,
16,230,69,6,2010,66,281,295,
16,230,69,6,2010,66,235,236,
17,216,133,5,2011,24,270,278,
17,216,24,5,2011,24,270,278,
17,216,133,5,2011,93,270,278,
17,216,133,5,2011,24,270,278,
17,216,133,5,2011,24,270,278,
16,200,105,6,2011,247,240,236,
14,200,105,6,2011,247,311,325,
15,200,105,6,2010,247,235,236,
13,200,105,6,2010,247,311,325,
18,215,69,6,2010,10,235,236,
18,216,133,4,2010,24,157,178,
17,216,133,5,2010,24,270,278,
17,216,133,5,2010,24,270,278,
17,216,133,5,2010,93,270,278,
17,216,133,5,2010,24,270,278,
17,216,133,5,2010,24,270,278,
21,196,203,6,2012,143,200,207,
17,240,57,6,2010,152,271,251,
21,240,57,5,2010,152,190,162,
22,240,57,5,2010,152,190,162,
21,240,57,5,2010,152,190,162,
19,240,57,5,2010,152,271,251,
22,240,57,5,2010,152,190,162,
21,240,57,5,2010,152,190,162,
22,240,57,5,2010,152,190,162,
18,150,57,6,2011,45,332,270,
18,150,57,7,2011,45,332,270,
18,150,57,6,2011,45,332,270,
18,150,57,7,2011,45,332,270,
18,150,57,6,2010,45,332,270,
18,150,57,6,2010,45,332,270,
18,150,57,7,2010,45,332,270,
18,150,57,7,2010,45,332,270,
21,196,203,6,2011,143,200,207,
18,150,52,6,2011,35,332,270,
18,150,52,6,2011,35,332,270,
19,150,52,7,2011,35,332,270,
18,150,52,6,2011,35,332,270,
21,196,203,6,2010,143,200,207,
19,150,52,7,2010,35,332,270,
18,150,52,6,2010,35,332,270,
18,150,52,6,2010,35,332,270,
19,150,52,7,2010,35,332,270,
21,95,248,6,2012,147,211,258,
21,95,248,8,2012,147,211,258,
21,95,214,6,2011,147,211,258,
21,95,214,8,2011,147,211,258,
29,57,186,5,2012,193,120,112,
29,57,186,5,2012,193,120,112,
29,57,186,5,2012,193,120,112,
38,57,160,5,2011,193,120,112,
28,57,160,5,2011,193,120,112,
28,57,160,5,2011,193,120,112,
21,168,247,5,2011,167,227,236,
21,168,247,6,2011,167,227,236,
21,155,247,5,2010,167,227,236,
21,155,247,6,2010,167,227,236,
21,95,34,6,2010,147,211,258,
22,95,34,6,2010,147,211,258,
21,123,234,5,2010,172,168,170,
20,123,234,5,2010,190,227,236,
21,95,248,8,2012,156,211,258,
21,95,214,8,2011,156,211,258,
23,95,34,6,2010,155,211,258,
23,240,57,5,2011,152,190,162,
22,240,57,5,2011,152,190,162,
17,240,57,6,2011,152,271,251,
23,240,57,5,2011,152,190,162,
19,240,57,5,2011,152,271,251,
22,240,57,5,2011,152,190,162,
22,240,57,5,2011,152,190,162,
29,226,186,5,2012,193,120,112,
29,226,186,5,2012,193,120,112,
28,226,160,5,2011,193,120,112,
28,226,160,5,2011,193,120,112,
22,66,54,5,2010,58,177,161,
21,66,54,5,2010,195,177,161,
22,66,54,5,2010,195,177,161,
21,66,54,5,2010,195,177,161,
22,66,54,5,2010,195,190,162,
21,66,54,5,2010,195,190,162,
22,66,54,5,2010,195,190,162,
21,66,54,5,2010,195,190,162,
19,71,54,5,2010,195,271,254,
20,155,57,6,2011,206,268,248,
20,155,57,6,2011,206,268,248,
18,150,57,7,2009,35,332,270,
18,150,57,7,2009,35,332,270,
18,150,57,6,2009,35,332,270,
18,150,57,6,2009,35,332,270,
19,155,57,6,2010,205,268,248,
19,155,57,6,2010,206,268,248,
19,155,57,6,2010,206,268,248,
22,198,29,6,2011,191,169,167,
22,198,29,6,2011,191,169,167,
22,198,29,6,2011,191,169,167,
22,198,29,6,2011,191,169,167,
20,198,29,6,2011,191,268,248,
22,198,29,6,2011,186,179,171,
22,198,29,6,2011,186,179,171,
20,198,29,6,2011,186,268,248,
22,198,29,6,2011,191,169,167,
20,198,29,6,2011,191,268,248,
26,181,31,5,2012,185,160,146,
26,181,31,5,2012,185,160,146,
25,93,186,5,2011,208,140,136,
25,93,186,4,2011,208,140,136,
25,93,186,5,2011,208,140,136,
25,93,186,4,2011,208,140,136,
25,93,186,5,2011,208,140,136,
25,93,186,4,2011,208,140,136,
25,93,186,4,2011,208,140,136,
24,93,186,5,2010,208,140,136,
24,93,186,4,2010,208,140,136,
24,93,186,5,2010,208,140,136,
24,93,186,4,2010,208,140,136,
24,93,186,5,2010,208,140,136,
24,93,186,4,2010,208,140,136,
24,93,186,5,2010,208,140,136,
24,93,186,4,2010,208,140,136,
23,242,3,6,2011,139,175,180,
18,242,3,6,2011,139,270,258,
18,243,69,6,2012,213,300,325,
20,243,69,6,2012,213,240,236,
17,19,97,6,2012,175,325,354,
19,19,97,6,2012,175,240,236,
17,19,97,6,2012,175,300,325,
17,230,69,6,2012,66,300,325,
19,230,69,6,2012,66,240,236,
16,200,105,6,2012,247,240,236,
16,200,105,6,2012,247,240,236,
23,242,3,6,2010,139,175,180,
18,242,3,6,2010,139,270,258,
22,197,29,6,2010,191,169,167,
22,198,29,6,2010,191,169,167,
22,198,29,6,2010,191,169,167,
22,198,29,6,2010,191,169,167,
19,198,29,6,2010,191,268,248,
22,198,29,6,2010,186,179,171,
22,198,29,6,2010,186,179,171,
19,198,29,6,2010,186,268,248,
22,216,29,6,2010,191,169,167,
19,198,29,6,2010,191,268,248,
15,200,105,6,2010,247,235,236,
16,200,105,6,2011,247,240,236,
16,19,97,6,2010,175,281,295,
17,19,97,6,2011,175,300,325,
18,19,97,6,2011,175,240,236,
20,169,234,5,2010,193,227,236,
21,169,234,5,2011,218,227,236,
8,198,152,6,2012,124,567,516,
10,195,123,6,2010,109,552,479,
10,195,123,6,2010,99,600,553,
24,93,188,5,2010,208,140,136,
24,93,188,4,2010,208,140,136,
24,93,188,5,2010,208,140,136,
24,93,188,4,2010,208,140,136,
11,195,135,6,2011,109,600,553,
10,195,125,6,2010,109,600,553,
10,195,135,6,2010,117,552,479,
9,34,107,6,2010,210,500,738,
28,220,227,5,2011,186,132,128,
26,220,227,4,2011,186,132,128,
26,220,227,4,2011,186,132,128,
28,202,227,5,2011,186,132,128,
26,202,227,4,2011,186,132,128,
13,24,156,8,2010,13,563,575,
21,14,227,8,2011,101,211,258,
20,17,228,6,2010,103,211,258,
11,202,196,6,2010,102,453,531,
11,202,196,6,2010,104,453,531,
21,17,189,6,2012,92,211,258,
21,17,189,8,2012,92,211,258,
11,234,194,6,2010,61,453,531,
21,17,189,8,2011,92,211,258,
21,17,189,6,2011,92,211,258,
22,17,62,6,2010,92,211,258,
18,17,62,6,2010,92,265,243,
21,17,62,6,2010,92,211,258,
11,232,194,6,2010,43,453,531,
13,24,156,8,2011,13,563,575,
19,71,54,5,2010,195,271,254,
11,207,196,6,2011,102,453,531,
23,86,54,5,2011,195,177,161,
23,86,54,5,2011,195,177,161,
23,86,54,5,2011,195,177,161,
23,86,54,5,2011,195,177,161,
23,86,54,5,2011,195,190,162,
23,86,54,5,2011,195,190,162,
20,86,54,5,2011,195,271,254,
23,86,54,5,2011,195,190,162,
20,86,54,5,2011,195,271,254,
11,202,196,6,2011,102,453,531,
11,234,194,6,2011,61,453,531,
11,232,194,6,2011,43,453,531,
23,19,242,5,2011,172,170,177,
24,19,242,6,2011,172,170,177,
23,19,242,6,2011,172,115,125,
23,19,242,6,2011,172,115,125,
