Dimensions.Height,Dimensions.Length,Dimensions.Width,Engine Information.Number of Forward Gears,Fuel Information.City mpg,Identification.Year,Engine Information.Engine Statistics.Horsepower,Engine Information.Engine Statistics.Torque
140,143,202,6,18,2009,250,236
140,143,202,6,22,2009,200,207
140,143,202,6,21,2009,200,207
140,143,202,6,21,2009,200,207
140,143,202,6,21,2009,200,207
91,17,62,6,16,2009,265,243
91,17,62,6,17,2009,265,243
201,221,191,6,13,2009,350,325
201,221,191,6,14,2009,280,266
147,96,34,6,22,2009,211,258
147,96,34,6,21,2009,211,258
147,96,34,6,17,2009,265,243
172,63,87,6,20,2012,280,254
172,63,87,6,18,2012,305,273
226,243,201,6,12,2010,555,500
226,243,201,6,12,2011,555,500
148,12,191,6,12,2010,555,500
148,12,191,6,12,2011,555,500
112,22,181,5,18,2012,185,190
112,140,181,5,18,2012,185,190
120,140,181,4,18,2012,185,190
112,22,181,5,18,2011,185,190
112,140,181,5,18,2011,185,190
120,140,181,4,18,2011,185,190
112,22,181,5,18,2010,185,190
112,140,181,5,20,2010,185,190
120,140,181,4,18,2010,185,190
77,60,219,4,13,2012,310,334
77,60,219,4,9,2012,310,334
77,60,219,4,13,2011,310,334
77,60,219,4,13,2011,310,334
22,60,219,6,8,2011,280,295
22,60,219,6,8,2011,324,373
24,60,224,4,10,2010,310,334
24,60,224,4,13,2010,310,334
77,102,237,4,15,2011,195,260
82,215,240,4,14,2011,302,305
85,215,237,4,15,2011,195,260
85,215,237,4,15,2010,195,260
77,102,237,4,15,2010,195,260
82,215,240,4,14,2010,302,305
43,52,52,6,18,2011,350,276
35,75,52,6,18,2010,350,276
35,75,52,6,18,2009,350,276
167,168,247,6,21,2011,227,236
167,168,247,5,21,2011,227,236
167,155,247,5,21,2010,227,236
167,155,247,6,21,2010,227,236
193,34,107,6,9,2010,530,774
99,195,153,6,8,2012,621,590
110,199,153,6,8,2012,621,590
99,195,153,6,8,2011,621,590
99,195,153,6,12,2010,621,590
118,170,184,6,8,2012,552,479
108,170,184,6,11,2012,600,553
185,170,184,6,10,2011,600,553
185,170,184,6,10,2010,600,553
195,170,184,6,10,2010,552,479
120,7,44,5,19,2011,227,236
119,230,44,6,20,2010,227,236
119,230,44,5,19,2010,227,236
172,123,234,5,21,2010,168,170
172,123,234,5,21,2010,227,236
172,123,234,5,21,2011,227,236
190,123,234,6,20,2010,227,236
203,19,72,6,20,2012,250,266
203,19,72,6,18,2012,300,325
203,19,72,6,18,2012,325,354
203,14,72,6,18,2011,300,325
213,243,69,6,19,2011,240,236
213,243,69,6,15,2010,311,325
213,243,69,6,16,2010,281,295
213,243,69,6,18,2010,235,236
177,169,234,5,21,2011,227,236
193,169,234,6,20,2010,227,236
177,169,234,5,20,2010,168,170
175,19,97,6,17,2011,300,325
175,19,97,6,18,2011,240,236
175,19,97,6,16,2010,281,295
175,19,97,6,18,2010,235,236
66,230,69,6,18,2011,240,236
66,230,69,6,17,2011,300,325
66,230,69,6,16,2010,281,295
66,230,69,6,16,2010,235,236
24,216,133,5,17,2011,270,278
24,216,24,5,17,2011,270,278
93,216,133,5,17,2011,270,278
24,216,133,5,17,2011,270,278
24,216,133,5,17,2011,270,278
247,200,105,6,16,2011,240,236
247,200,105,6,14,2011,311,325
247,200,105,6,15,2010,235,236
247,200,105,6,13,2010,311,325
