Land to Retail,Global Average,Land Use Change,Farm,Processing,Transport,Feed,Packaging,Retail
0.357,0.43,-0.029,0.225,0.004,0.096,0,0.044,0.017
0.678,0.86,-0.025,0.266,0.059,0.292,0,0.065,0.021
1.109,1.18,0.009,0.176,0.128,0.035,0,0.497,0.264
59.57,99.48,16.278,39.388,1.269,0.346,1.878,0.247,0.164
21.085,33.3,0.906,15.689,1.108,0.424,2.508,0.268,0.182
1.536,1.81,0,0.536,0.242,0.629,0,0.09,0.039
1.214,1.53,0.025,0.722,0,0.238,0,0.212,0.017
0.437,0.51,0.002,0.278,0,0.095,0,0.045,0.017
2.672,3.2,1.247,0.485,0.037,0.784,0,0.083,0.036
0.987,1.32,0.589,0.22,0,0.094,0,0.045,0.039
21.24,23.88,4.455,13.059,0.738,0.138,2.346,0.172,0.332
0.317,0.39,-0.146,0.307,0,0.094,0,0.045,0.017
16.477,28.53,3.688,10.386,0.592,0.13,0,1.63,0.051
18.681,46.65,14.308,3.706,0.185,0.061,0,0.4,0.021
4.507,4.67,0.709,1.317,0,0.084,2.2,0.161,0.036
5.183,13.63,0.534,3.598,0.02,0.111,0.819,0.061,0.04
2.497,3.23,0.439,1.425,0.372,0.12,0,0.099,0.042
24.415,39.72,0.468,19.508,1.111,0.49,2.37,0.251,0.217
0.988,1.7,0.315,0.475,0.052,0.06,0,0.06,0.026
2.781,3.15,0.495,1.458,0.149,0.09,0.236,0.097,0.256
0.278,0.43,-2.052,2.126,0.032,0.067,0,0.078,0.027
1.575,2.48,0.001,1.37,0.042,0.067,0,0.066,0.029
5.944,5.42,-0.377,4.272,0.66,0.482,0,0.861,0.046
0.395,0.5,0.005,0.211,0,0.095,0,0.045,0.039
0.75,1.05,0.126,0.369,0.015,0.182,0,0.042,0.016
1.61,1.79,0.033,1.089,0,0.096,0,0.353,0.039
0.455,0.53,0.001,0.174,0.06,0.164,0,0.041,0.015
7.605,7.32,3.096,2.107,1.264,0.208,0,0.886,0.044
0.896,0.98,0,0.717,0,0.095,0,0.045,0.039
7.282,12.31,1.535,1.694,0.284,0.343,2.94,0.296,0.19
0.37,0.46,-0.001,0.193,0,0.094,0,0.045,0.039
6.092,9.87,2.54,0.672,0.44,0.276,1.775,0.212,0.177
3.828,3.77,0.212,2.343,0.193,0.19,0,0.844,0.046
3.839,4.45,-0.022,3.553,0.065,0.096,0,0.084,0.063
0.365,0.43,0.013,0.154,0,0.114,0,0.045,0.039
11.854,26.87,0.206,8.379,0,0.206,2.51,0.334,0.219
6.117,6.32,3.096,1.519,0.311,0.299,0,0.849,0.043
0.914,0.98,0.18,0.093,0.163,0.11,0,0.098,0.27
3.607,3.6,0.133,2.148,0.229,0.201,0,0.853,0.043
2.871,3.16,0.958,0.495,0.794,0.177,0,0.177,0.27
1.427,2.09,0.372,0.704,0.012,0.177,0,0.145,0.017
1.441,1.57,0.1,0.847,0.217,0.129,0,0.09,0.058
1.585,1.79,-0.061,0.626,0.139,0.093,0,0.749,0.039
